臺灣頻道,#genre#
美國Investigation Discovery US,http://173.82.57.77:8890/fhtv.php?id=1202
美國Animal Planet,http://173.82.57.77:8890/fhtv.php?id=1203
美國History,http://173.82.57.77:8890/fhtv.php?id=1204
美國SMITHSONIAN,http://173.82.57.77:8890/fhtv.php?id=1205
美國TLC,http://173.82.57.77:8890/fhtv.php?id=1206
美國Science,http://173.82.57.77:8890/fhtv.php?id=1207
美國Disney,http://173.82.57.77:8890/fhtv.php?id=1208
美國Disney XD,http://173.82.57.77:8890/fhtv.php?id=1209
美國Disney Junior,http://173.82.57.77:8890/fhtv.php?id=1210
美國Cartoon Network US,http://173.82.57.77:8890/fhtv.php?id=1211
美國Nickelodeon US,http://173.82.57.77:8890/fhtv.php?id=1212
美國Nick Junior,http://173.82.57.77:8890/fhtv.php?id=1213
美國Boomerang,http://173.82.57.77:8890/fhtv.php?id=1214
美國Universal Kids,http://173.82.57.77:8890/fhtv.php?id=1215
美國ABC,http://173.82.57.77:8890/fhtv.php?id=1216
美國NBC,http://173.82.57.77:8890/fhtv.php?id=1217
美國FOX,http://173.82.57.77:8890/fhtv.php?id=1218
美國CBS,http://173.82.57.77:8890/fhtv.php?id=1219
美國CW,http://173.82.57.77:8890/fhtv.php?id=1220
美國SYFY,http://173.82.57.77:8890/fhtv.php?id=1221
美國E!,http://173.82.57.77:8890/fhtv.php?id=1222
美國Comedy Central,http://173.82.57.77:8890/fhtv.php?id=1223
美國TNT US,http://173.82.57.77:8890/fhtv.php?id=1224
美國Bravo US,http://173.82.57.77:8890/fhtv.php?id=1225
美國LifeTime US,http://173.82.57.77:8890/fhtv.php?id=1226
美國Arts and Entertainment,http://173.82.57.77:8890/fhtv.php?id=1227
美國AMC,http://173.82.57.77:8890/fhtv.php?id=1228
美國WE TV,http://173.82.57.77:8890/fhtv.php?id=1229
美國USA Network,http://173.82.57.77:8890/fhtv.php?id=1230
美國BET,http://173.82.57.77:8890/fhtv.php?id=1231
美國Lifetime Movie Network,http://173.82.57.77:8890/fhtv.php?id=1232
美國VH-1,http://173.82.57.77:8890/fhtv.php?id=1233
美國TBS,http://173.82.57.77:8890/fhtv.php?id=1234
美國OWN US,http://173.82.57.77:8890/fhtv.php?id=1235
美國GSN,http://173.82.57.77:8890/fhtv.php?id=1236
美國HGTV US,http://173.82.57.77:8890/fhtv.php?id=1237
美國Cooking Channel,http://173.82.57.77:8890/fhtv.php?id=1238
美國MTV US,http://173.82.57.77:8890/fhtv.php?id=1239
美國FYI,http://173.82.57.77:8890/fhtv.php?id=1240
美國BabyTV,http://173.82.57.77:8890/fhtv.php?id=1241
美國TVB1,http://173.82.57.77:8890/fhtv.php?id=1242
美國TVB DRAMA,http://173.82.57.77:8890/fhtv.php?id=1243
美國TVBJ1,http://173.82.57.77:8890/fhtv.php?id=1244
美國TVBE,http://173.82.57.77:8890/fhtv.php?id=1245
美國NOWTV,http://173.82.57.77:8890/fhtv.php?id=1246
美國CNN USA,http://173.82.57.77:8890/fhtv.php?id=1102
美國FOX,http://173.82.57.77:8890/fhtv.php?id=1103
美國MSNBC,http://173.82.57.77:8890/fhtv.php?id=1104
美國The Weather,http://173.82.57.77:8890/fhtv.php?id=1105
美國CNBC,http://173.82.57.77:8890/fhtv.php?id=1106
美國Bloomberg,http://173.82.57.77:8890/fhtv.php?id=1107
美國Fox Business,http://173.82.57.77:8890/fhtv.php?id=1108
美國HBO Comedy,http://173.82.57.77:8890/fhtv.php?id=1109
美國HBO1US,http://173.82.57.77:8890/fhtv.php?id=1110
美國HBO2US,http://173.82.57.77:8890/fhtv.php?id=1111
美國HBO Signature,http://173.82.57.77:8890/fhtv.php?id=1112
美國HBO Family,http://173.82.57.77:8890/fhtv.php?id=1113
美國ShowTime 1,http://173.82.57.77:8890/fhtv.php?id=1114
美國ShowTime 2,http://173.82.57.77:8890/fhtv.php?id=1115
美國ShowCase US,http://173.82.57.77:8890/fhtv.php?id=1116
美國Starz,http://173.82.57.77:8890/fhtv.php?id=1117
美國Starz Comedy,http://173.82.57.77:8890/fhtv.php?id=1118
美國Starz Edge,http://173.82.57.77:8890/fhtv.php?id=1119
美國Starz Kids Family,http://173.82.57.77:8890/fhtv.php?id=1120
美國Starz Encore,http://173.82.57.77:8890/fhtv.php?id=1121
美國Starz Encore Westerns,http://173.82.57.77:8890/fhtv.php?id=1122
美國Cinemax,http://173.82.57.77:8890/fhtv.php?id=1123
美國-30A TV,http://173.82.57.77:8890/fhtv.php?id=1052
美國-American Horrors,http://173.82.57.77:8890/fhtv.php?id=1054
美國-Atlanta,http://173.82.57.77:8890/fhtv.php?id=1055
美國-Panama City,http://173.82.57.77:8890/fhtv.php?id=1056
美國-Pawleys Island,http://173.82.57.77:8890/fhtv.php?id=1057
美國-Bloomberg Television,,http://173.82.57.77:8890/fhtv.php?id=1058
美國-HBO Comedy East,http://173.82.57.77:8890/fhtv.php?id=269
美國-BET,http://173.82.57.77:8890/fhtv.php?id=270
美國-HBO East,http://173.82.57.77:8890/fhtv.php?id=271
美國-HBO Signature,http://173.82.57.77:8890/fhtv.php?id=272
美國-HBO Zone East,http://173.82.57.77:8890/fhtv.php?id=273
美國-HGTV-,http://173.82.57.77:8890/fhtv.php?id=274
